,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Alavés,1,20.0,29,1,0,4,0,27.9,0.34,-1.1,-0.05,191,368,51.9,425,59,61.4,45.5,169,63.3,47.2,178,16,9.0,15,0.75,15.1
Athletic Club,1,18.0,22,3,0,4,1,17.6,0.31,-3.4,-0.19,147,339,43.4,457,85,50.5,42.7,124,87.1,64.6,169,11,6.5,13,0.72,14.1
Atlético Madrid,1,18.0,8,1,0,2,2,11.9,0.21,+5.9,+0.33,133,307,43.3,342,53,58.8,43.9,157,67.5,49.4,168,10,6.0,5,0.28,13.9
Barcelona,2,19.0,17,2,0,4,0,20.5,0.27,+3.5,+0.18,90,145,62.1,507,102,21.7,28.7,110,31.8,32.1,125,12,9.6,13,0.68,16.4
Betis,2,20.0,34,5,0,7,2,33.3,0.41,+1.3,+0.06,136,354,38.4,532,78,53.2,43.0,124,57.3,46.3,150,8,5.3,12,0.60,15.3
Cádiz,3,20.0,27,2,0,2,1,21.7,0.27,-4.3,-0.22,200,535,37.4,456,37,83.3,57.3,165,93.9,67.6,198,23,11.6,11,0.55,13.9
Celta Vigo,2,20.0,31,3,1,1,1,27.3,0.37,-2.7,-0.13,100,308,32.5,537,83,41.7,36.7,152,55.3,42.7,179,12,6.7,15,0.75,15.9
Eibar,1,20.0,21,1,0,1,0,24.2,0.32,+3.2,+0.16,179,486,36.8,501,51,72.7,57.4,129,94.6,75.4,169,11,6.5,21,1.05,16.8
Elche,1,18.0,25,3,0,2,0,27.0,0.29,+2.0,+0.11,134,274,48.9,560,97,32.7,32.8,172,52.9,36.2,199,13,6.5,13,0.72,12.8
Getafe,2,18.0,18,4,0,2,1,17.3,0.28,+0.3,+0.02,176,456,38.6,441,19,83.0,56.0,117,76.9,53.8,122,14,11.5,20,1.11,15.7
Granada,2,20.0,34,2,2,3,0,32.6,0.36,-1.4,-0.07,171,468,36.5,497,37,66.6,49.3,172,79.7,56.7,199,6,3.0,13,0.65,14.8
Huesca,2,20.0,29,4,1,6,0,25.5,0.31,-3.5,-0.18,106,308,34.4,585,92,40.5,36.8,151,47.0,41.8,189,15,7.9,8,0.40,13.9
Levante,3,19.0,28,2,1,4,0,27.0,0.33,-1.0,-0.05,85,236,36.0,473,95,41.0,37.4,147,28.6,30.0,184,13,7.1,19,1.00,15.8
Osasuna,2,20.0,29,4,0,2,2,29.1,0.35,+2.1,+0.10,276,570,48.4,545,46,78.2,54.2,148,97.3,64.8,225,21,9.3,37,1.86,16.5
Real Madrid,1,19.0,16,6,0,1,1,15.5,0.21,+0.5,+0.03,62,179,34.6,544,117,23.5,31.6,122,41.8,39.6,154,16,10.4,10,0.53,14.4
Real Sociedad,1,20.0,18,2,0,1,0,16.3,0.27,-1.7,-0.08,127,283,44.9,508,66,43.3,38.2,107,58.9,48.5,148,11,7.4,11,0.55,15.0
Sevilla,2,19.0,16,1,0,3,2,14.5,0.23,+0.5,+0.03,103,222,46.4,473,76,33.8,34.4,104,59.6,44.7,149,11,7.4,12,0.63,15.2
Valencia,1,20.0,29,3,2,4,1,29.9,0.29,+1.9,+0.10,207,401,51.6,457,70,56.7,42.3,188,75.5,54.6,239,16,6.7,10,0.50,13.5
Valladolid,2,20.0,29,5,1,3,0,30.5,0.32,+1.5,+0.07,142,437,32.5,432,68,66.4,50.3,173,86.7,65.0,231,16,6.9,14,0.70,13.8
Villarreal,1,20.0,20,4,0,1,1,15.2,0.23,-2.8,-0.14,116,249,46.6,546,113,33.5,34.9,139,47.5,41.8,221,23,10.4,8,0.40,12.9
